FID,nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,id_gestor,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc,prec_geom,dependenci,dependen_1,dependen_2,dependen_3,dependen_4,dependen_5,dependen_6,dependen_7,dependen_8,dependen_9,geom
Dependencias.2428,ADARZO,05604,087700140,E,EX,AE,390759,,39011,AD,430768.3864,4811519.5104,16,39,0,AE,E,EX,39,390759,39011,AD,087700140,ADARZO,0,POINT (430768.3864000002 4811519.510399999)
Dependencias.2429,AGUDA,05409,087520020,E,EX,AE,330241,,33393,AD,279488.9115,4816144.2982,16,33,0,AE,E,EX,33,330241,33393,AD,087520020,AGUDA,0,POINT (279488.9115000004 4816144.2982)
Dependencias.2430,ALTAMIRA,05620,087700130,P,EX,AE,390876,,39300,AD,414325.37,4800452.2516,16,39,0,AE,P,EX,39,390876,39300,AD,087700130,ALTAMIRA,0,POINT (414325.3700000001 4800452.251599999)
Dependencias.2431,ALUMBRES,05959,083600010,P,EX,AE,300161,,30202,AD,684014.0357,4164585.0649,16,30,0,AE,P,EX,30,300161,30202,AD,083600010,ALUMBRES,0,POINT (684014.0356999999 4164585.0648999996)
Dependencias.2432,APALLA,05119,087400030,P,EX,AE,150490,,15563,AD,94576.4954,4834199.8933,16,15,0,AE,P,EX,15,150490,15563,AD,087400030,APALLA,0,POINT (94576.49540000036 4834199.893300001)
Dependencias.2433,ARANGUREN,05473,087800070,E,EX,AE,480963,,48860,AD,491107.1599,4784190.2335,16,48,0,AE,E,EX,48,480963,48860,AD,087800070,ARANGUREN,0,POINT (491107.1599000003 4784190.2335)
Dependencias.2434,ARANGUREN APD,05474,087900110,P,EX,AE,480963,,48850,AD,490736.189,4784174.3795,16,48,0,AE,P,EX,48,480963,48850,AD,087900110,ARANGUREN APD,0,POINT (490736.18900000025 4784174.3795)
Dependencias.2435,ARGAÑOSA-LAVAPIES,05301,087600005,P,EX,AE,330447,,33012,AD,267464.8391,4805452.117,16,33,0,AE,P,EX,33,330447,33012,AD,087600005,ARGAÑOSA-LAVAPIES,0,POINT (267464.83910000045 4805452.117000001)
Dependencias.2436,ARIJA,05740,087900090,E,EX,AE,90256,,09570,AD,422996.6633,4760271.3431,16,9,0,AE,E,EX,9,90256,09570,AD,087900090,ARIJA,0,POINT (422996.66330000013 4760271.3431)
Dependencias.2437,ARIZ,05713,087820010,E,EX,AS,480157,,48970,AD,509789.2896,4787486.0357,16,48,0,AS,E,EX,48,480157,48970,AD,087820010,ARIZ,0,POINT (509789.2895999998 4787486.035700001)
Dependencias.2438,ARLA BERRON,05721,087900090,P,EX,AE,94108,,09585,AD,481486.9461,4779347.3627,16,9,0,AE,P,EX,9,94108,09585,AD,087900090,ARLA BERRON,0,POINT (481486.9461000003 4779347.3627)
Dependencias.2439,ARRIONDAS,05543,087700060,E,EX,AE,330450,,33540,AD,322748.7004,4806172.1175,16,33,0,AE,E,EX,33,330450,33540,AD,087700060,ARRIONDAS,0,POINT (322748.70040000044 4806172.1175)
Dependencias.2440,ARTXUBE,05469,087800080,P,EX,AE,480451,,48840,AD,494179.0009,4783140.5485,16,48,0,AE,P,EX,48,480451,48840,AD,087800080,ARTXUBE,0,POINT (494179.00090000033 4783140.5485)
Dependencias.2441,ARZENTALES,05489,087800070,P,EX,AE,480084,,48879,AD,482676.0774,4786990.231,16,48,0,AE,P,EX,48,480084,48879,AD,087800070,ARZENTALES,0,POINT (482676.07739999983 4786990.231000001)
Dependencias.2442,ASTILLERO,05657,087800030,E,EX,AE,390089,,39610,AD,433535.6821,4805997.1758,16,39,0,AE,E,EX,39,390089,39610,AD,087800030,ASTILLERO,0,POINT (433535.68209999986 4805997.175799999)
Dependencias.2443,AVIADOS,05768,087900030,P,EX,AE,241797,,24847,AD,300416.0635,4747577.154,16,24,0,AE,P,EX,24,241797,24847,AD,087900030,AVIADOS,0,POINT (300416.06350000016 4747577.153999999)
Dependencias.2444,AVILES APD,05221,087500030,P,EX,AE,330045,,33402,AD,264348.9031,4826551.7981,16,33,0,AE,P,EX,33,330045,33402,AD,087500030,AVILES APD,0,POINT (264348.90309999976 4826551.7981)
Dependencias.2445,BAIÑA,05361,087640020,P,EX,AE,330371,,33600,AD,270496.9535,4795178.205,16,33,0,AE,P,EX,33,330371,33600,AD,087640020,BAIÑA,0,POINT (270496.9534999998 4795178.205)
Dependencias.2446,BALLOTA,05263,087400100,P,EX,AE,330215,,33150,AD,231062.9028,4827286.0862,16,33,0,AE,P,EX,33,330215,33150,AD,087400100,BALLOTA,0,POINT (231062.90280000027 4827286.086200001)
Dependencias.2447,BALMASEDA V.,05483,087900110,E,EX,AE,480904,,48800,AD,484565.321,4782647.1996,16,48,0,AE,E,EX,48,480904,48800,AD,087900110,BALMASEDA V.,0,POINT (484565.32100000046 4782647.1996)
Dependencias.2448,BALMORI,05565,087700090,P,EX,AE,330365,,33500,AD,351399.261,4809255.0172,16,33,0,AE,P,EX,33,330365,33500,AD,087700090,BALMORI,0,POINT (351399.26099999994 4809255.017200001)
Dependencias.2449,BARCIA,05273,087400100,P,EX,AE,330349,,33700,AD,216595.6269,4827518.7112,16,33,0,AE,P,EX,33,330349,33700,AD,087400100,BARCIA,0,POINT (216595.62689999957 4827518.711200001)
Dependencias.2450,BARREDA,05619,087700140,E,EX,AE,390876,,39300,AD,415578.2339,4802877.0343,16,39,0,AE,E,EX,39,390876,39300,AD,087700140,BARREDA,0,POINT (415578.23390000034 4802877.0342999995)
